# Collision classes of the loopy polynomial L_G.
# Read from 38 result file(s) in res10_1.  The L-, Lhat- and XB-classes coincide.
#
# Non-isomorphic connected simple graphs on n = 10 vertices with equal
# L_G.  In this range the classes of the refined loopy polynomial Lhat_G
# and of the Tutte symmetric function XB_G are identical.
#
# Format:  n  m  graph6 [graph6 ...]   (class size = number of graph6 fields)
#
# classes    : 1285
# by size    : 1281 of size 2, 4 of size 4
# graphs     : 2578
# pairs      : 1305
# edge range : 14..32
#
10 19 ICOedGyRw ICOedOtRw
10 19 ICOedO]z_ ICOf@qsVg
10 19 ICQQTbg\g ICQQTbgxo
10 19 ICQRDrgXo ICQREqiJo
10 19 ICQREqiSw ICQRFPqcw
10 19 ICQbRbSm_ ICQeR`[ho
10 19 ICQbctkt? ICQbdrK[_
10 19 ICQeR_{dg ICQeRakl_
10 19 ICQebO{yG ICQebO{{G
10 19 ICQf@psv? ICQf@rK^?
10 20 I?ABCzxVw I?ABEo~vW
10 20 I?AFCxZ}W I?AFEozvW
10 20 I?B@lXZxo I?B@tL\tg
10 20 I?BDKzqro I?BDMiyjo
10 20 I?BDnRsNO I?Bcvb[Fo
10 20 I?BefRkso ICQdbRFpo
10 20 I?`@dVL}W I?`@dVXvW
10 20 I?`DBjxv_ I?`DBr\|_
10 20 I?`DUJhnW I?`DVBdnW
10 20 I?`DbS}v_ I?`DbVU^_
10 20 I?`DdVM\W I?`DdVdVg
10 20 I?`DdVd[w I?`DdfiXw
10 20 I?`DdprZW I?`DfOz\W
10 20 I?`DeVdJw I?`DfElRw
10 20 I?`EVJenO I?`FFRe^O
10 20 I?`EVJesw I?`FFResw
10 20 I?`FdX{Mo I?`FdX{[o
10 20 I?`alRo^W I?`alaw^W
10 20 I?`alYw{o I?`anIwmo
10 20 I?`alZo^O I?`alhwnO
10 20 I?`an@\^O I?`efBX}O
10 20 I?`anRsdo I?`cmrqXo
10 20 I?`bfbgVg I?`bfbgvO
10 20 I?`ckrpVW I?`cm_|uW
10 20 I?`cmquNO I?`eLq]VO
10 20 I?`curc}G I?`curo|G
10 20 I?`cvBU]g I?`ebRYNg
10 20 I?`cv`[Yw I?`e`zWYw
10 20 I?`cv`[dw I?`e`zWdw
10 20 I?`cv`[~? I?`e`zW~?
10 20 I?`eNa{tO I?`eeg}bo
10 20 I?`eVasNo I?`eeqsNo
10 20 I?`eVaspw I?`eeqspw
10 20 I?`eVas}G I?`eeqs}G
10 20 I?`eVbspo I?`eerspo
10 20 I?`e`x[nO I?`edX[^O
10 20 I?`ebRPVw I?`ebRPvW
10 20 I?`ecyuv? I?qaax{t_
10 20 I?`eerUxO ICQdbJJwo
10 20 I?`fMXwUg ICQeUg{rG
10 20 I?`uVHwQw ICQfDh[xG
10 20 I?`vCtwr_ I?be`xwr_
10 20 I?aJCvFyW I?bBEdfyW
10 20 I?aJEVd^_ I?bBEWn}_
10 20 I?aNf`keg I?bDv_{pW
10 20 I?bBDc^VW I?bBDfpVW
10 20 I?bBEUu{o I?bBEeuuo
10 20 I?bDtXwTo I?bFUhwLo
10 20 I?bFBJJ]o I?bFBJJ}_
10 20 I?be`zW`w I?ov?}wBw
10 20 I?optYqjG I?qdVHsow
10 20 I?opvJoFg I?ov@vSN_
10 20 I?otQhifW ICQeJPX|O
10 20 I?otQlkcw I?otQm[Ww
10 20 I?otQxefG I?otQyUZG
10 20 I?otQzo|? ICQeLpw]_
10 20 I?otRa{]O ICQebRwxO
10 20 I?ovCts}? ICQbSlw^?
10 20 I?ovDd[}? ICQbUc{^?
10 20 I?ovDp[\_ I?ovDp[x_
10 20 I?ovEqwFo ICQbQng\_
10 20 I?ovFIwrG ICp`f_{fO
10 20 I?ovFQs]_ ICQTbVgZ_
10 20 I?ovFakFo ICQeLoy]_
10 20 I?q`qxef_ I?q`qyUZ_
10 20 I?q`urEmG I?qbf`wpW
10 20 I?qa`]ux_ I?qac\{v?
10 20 I?qa`m[Zg I?qabWufo
10 20 I?qa`pmew I?qa`pmfW
10 20 I?qa`yUYw I?qabK{ew
10 20 I?qa`yUZg I?qabK{fo
10 20 I?qaay{{_ I?r@dVq^?
10 20 I?qabM[NW I?qabYUNW
10 20 I?qabNKww I?qaeZaxg
10 20 I?qabWyfW I?qacwyZW
10 20 I?qabWyfo I?qacwyZo
10 20 I?qadQ{{g ICQRDayzG
10 20 I?qadiw{o ICQRDrKmg
10 20 I?qadrQnG ICQRDrgjg
10 20 I?qafHU^_ I?qafHUmW
10 20 I?qbbdwx_ ICQbRLw{O
10 20 I?qbbe[}? ICQeThw^?
10 20 I?qbcxw[o I?qbepsLo
10 20 I?qbcxw{_ ICQeRpsn?
10 20 I?qbdrSm_ ICRV@qwXW
10 20 I?qdTheRW ICQfEXkwo
10 20 I?r@`fqbw I?r@dbqrW
10 20 ICOedHi~G ICOedHi~_
10 20 ICOfDrK\g ICOfDrK\o
10 20 ICQTbNKiW ICQf@m[Rg
10 20 ICQTbVK}? ICQbTL[v?
10 20 ICQ`ea{}_ ICQ`eb[}_
10 20 ICQbPlsso ICQf@^SZG
10 20 ICQbRb[m_ ICQb`rku_
10 20 ICQbRe[v? ICQbRe[|?
10 20 ICQbRrKko ICQbVbKMo
10 20 ICQbTd[z? ICQbctkv?
10 20 ICQbTdkv? ICQbddkv?
10 20 ICQbUds^? ICQeUg{^?
10 20 ICQbbfK}? ICQbedk}?
10 20 ICQbcukqW ICQeeTwxO
10 20 ICQbdT[v? ICQbdT[|?
10 20 ICQbdZoRg ICQfCxqV_
10 20 ICQbdrKZ_ ICQbdrK\_
10 20 ICQbdrK[g ICQbeo{Xo
10 20 ICQbeTsv? ICQbfD[v?
10 20 ICQeJPtfO ICQeJbXjO
10 20 ICQeMo{kW ICQeMpwkW
10 20 ICQeMpwN_ ICQefC{^?
10 20 ICQeRHuv? ICQfAZ[\_
10 20 ICQeV_{^? ICQfCxwN_
10 20 ICQe`rWhw ICQebPq^_
10 20 ICRcrOx|? ICdebQsYo
10 20 ICdbFHY{_ ICp`eqet_
10 21 I?AFCx^}W I?AFEr\Nw
10 21 I?B@tij|W I?B@vIrnW
10 21 I?BDMn[iw I?BDMnifW
10 21 I?BDdYZzW I?BDeYjnW
10 21 I?BDlZYxo I?BDvI\tg
10 21 I?BefRksw I?BefRqrW
10 21 I?`@eZxjw I?`@fQ^zW
10 21 I?`DeXf|W I?`DfHVzW
10 21 I?`EVJe^g I?`FFReng
