# Collision classes of the loopy polynomial L_G.
# Read from 124 result file(s) in res11.  The L-, Lhat- and XB-classes coincide.
#
# Non-isomorphic connected simple graphs on n = 11 vertices with equal
# L_G.  In this range the classes of the refined loopy polynomial Lhat_G
# and of the Tutte symmetric function XB_G are identical.
#
# Format:  n  m  graph6 [graph6 ...]   (class size = number of graph6 fields)
#
# classes    : 22499
# by size    : 22491 of size 2, 4 of size 3, 4 of size 4
# graphs     : 45010
# pairs      : 22527
# edge range : 13..42
#
11 18 J?AEBAsgq{? J?AEBBD[`y?
11 18 J?AEBAwcp]? J?AEBBPZCy?
11 18 J?AEBBoYcY_ J?AEBBoiQ[_
11 18 J?B@`Yoq`X? J?`DD`oFdH?
11 18 J?B@`Z_qcT? J?BD@j_Uec?
11 18 J?B@dHgUCf? J?B@dIWUBF?
11 18 J?B@dHgeab? J?B@dIWYab?
11 18 J?B@lR_UAb? J?`FAqSM?]?
11 18 J?BD?osYfg? J?BDA_YZFS?
11 18 J?BD?pPMPr? J?BD?pWKXq_
11 18 J?BD?p`LRs? J?`@E_kQs{?
11 18 J?BDA_Yqdb? J?BDA_Yqfa?
11 18 J?BDA_YqfB? J?BDA_Yqf`?
11 18 J?BDA_qZCr? J?BDA_qfBR?
11 18 J?BDApoJcX? J?`@eCwxC[?
11 18 J?BDApoMcX? J?`@eCw\C[?
11 18 J?BDKpWMBB? J?BDdPSMAU?
11 18 J?`@?bG\Df_ J?`@?bGkbj_
11 18 J?`@?bG\Le_ J?`@?bG\db_
11 18 J?`@?bG\Lf? J?`@?bGkjj?
11 18 J?`@?bG\df? J?`@?bGkrl?
11 18 J?`@?bgdPl_ J?`@?bgdRd_
11 18 J?`@?bgdRk_ J?`@?bgdRl?
11 18 J?`@?bgsRk_ J?`@?bgsRl?
11 18 J?`@C`c{NQ? J?`@C`oX^Q?
11 18 J?`@CaWTFF_ J?`@CaWTFs_
11 18 J?`@CbCEZR_ J?`@CbCE^`_
11 18 J?`@CbOmbM? J?`@CbOx`u?
